INFO 2025-08-10 15:36:57,685 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5251
INFO 2025-08-10 15:36:57,688 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19724
INFO 2025-08-10 15:36:57,689 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80698
INFO 2025-08-10 15:36:57,691 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88145
INFO 2025-08-10 15:36:57,695 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686707
INFO 2025-08-10 15:36:57,696 "GET /static/dist/js/demo.js HTTP/1.1" 200 12616
INFO 2025-08-10 15:36:57,698 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 57530
INFO 2025-08-10 15:36:57,701 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42383
INFO 2025-08-10 15:36:58,226 "GET /static/dist/img/login.png HTTP/1.1" 200 144918
INFO 2025-08-10 15:36:58,373 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2025-08-11 16:37:50,843 Watching for file changes with StatReloader
INFO 2025-08-11 16:38:48,600 /home/ronny-karani/Projects/nkubu-junior-sms/school_app/settings.py changed, reloading.
INFO 2025-08-11 16:45:44,518 Watching for file changes with StatReloader
INFO 2025-08-11 17:10:18,908 Watching for file changes with StatReloader
INFO 2025-08-11 17:12:25,303 /home/ronny-karani/Projects/nkubu-junior-sms/school_app/settings.py changed, reloading.
INFO 2025-08-11 17:12:26,459 Watching for file changes with StatReloader
INFO 2025-08-11 17:14:31,330 Watching for file changes with StatReloader
INFO 2025-08-11 17:23:32,756 Watching for file changes with StatReloader
